95	0	2	1	1	0	1.29027	0.416197
95	0	3	0	2	1	0.938404	0.0407686
95	0	3	1	2	0	3.06482	0.434865
95	0	3	1	1	0	0.516689	0.0791016
95	0	3	2	2	1	4.74799	1.04368
95	0	4	0	3	1	2.44353	0.09675
95	0	4	0	2	1	0.382301	0.00913463
95	0	4	1	3	0	5.46934	0.484712
95	0	4	1	3	2	1.30225	0.0274793
95	0	4	1	2	0	1.28228	0.102765
95	0	4	1	1	0	0.304584	0.028991
95	0	4	2	3	1	7.56541	0.927426
95	0	4	2	2	1	1.7097	0.182693
95	0	4	3	3	2	10.2303	1.69586
95	0	5	0	4	1	4.60028	0.158719
95	0	5	0	3	1	0.96961	0.0222849
95	0	5	0	2	1	0.228028	0.00363976
95	0	5	1	4	0	8.51782	0.54415
95	0	5	1	4	2	3.04532	0.0695548
95	0	5	1	3	0	2.25957	0.121023
95	0	5	1	3	2	0.482797	0.00552518
95	0	5	1	2	0	0.773951	0.04193
95	0	5	1	1	0	0.208704	0.0139383
95	0	5	2	4	1	11.0389	0.913937
95	0	5	2	4	3	1.66131	0.0206995
95	0	5	2	3	1	2.96832	0.208852
95	0	5	2	2	1	0.975087	0.0665556
95	0	5	3	4	2	14.0653	1.48374
95	0	5	3	3	2	3.31868	0.261065
95	0	5	4	4	3	17.7206	2.35515
95	0	6	0	5	1	7.40277	0.223264
95	0	6	0	4	1	1.78638	0.0369346
95	0	6	0	3	1	0.571614	0.0090762
95	0	6	0	2	1	0.158015	0.00184953
95	0	6	1	5	0	12.2057	0.606951
95	0	6	1	5	2	5.42351	0.119837
95	0	6	1	4	0	3.45146	0.137877
95	0	6	1	4	2	1.12193	0.0145687
95	0	6	1	3	0	1.35892	0.0512959
95	0	6	1	3	2	0.275029	0.00210114
95	0	6	1	2	0	0.539832	0.0215865
95	0	6	1	1	0	0.15498	0.00778383
95	0	6	2	5	1	15.1586	0.936153
95	0	6	2	5	3	3.6496	0.0542649
95	0	6	2	4	1	4.38386	0.222433
95	0	6	2	4	3	0.564586	0.00368932
95	0	6	2	3	1	1.73996	0.0840962
95	0	6	2	2	1	0.661373	0.032401
95	0	6	3	5	2	18.5806	1.40653
95	0	6	3	5	4	2.01785	0.0165885
95	0	6	3	4	2	5.17587	0.310066
95	0	6	3	3	2	1.79758	0.0897584
95	0	6	4	5	3	22.5631	2.07409
95	0	6	4	4	3	5.25033	0.31905
95	0	6	5	5	4	27.2141	3.01728
95	0	7	0	6	1	7.54054	0.139678
95	0	7	0	5	1	1.84631	0.0222618
95	0	7	0	4	1	0.659388	0.0061004
95	0	7	0	3	1	0.24653	0.00183755
95	0	7	0	2	1	0.0735687	0.00041421
